policy_id,selection_policy,evaluated_endpoints,healthy_evaluated_endpoints,anomalous_evaluated_endpoints,ambiguous_excluded_endpoints,tp,fp,tn,fn,precision,recall,f1,specificity,false_positive_alerted_endpoints_per_1000_healthy_endpoints,false_alert_event_count,false_alert_events_per_1000_healthy_endpoints,validation_engine_count,engines_with_healthy_false_alert,percent_engines_with_healthy_false_alert,total_event_count,median_event_duration_endpoints,event_fragmentation_per_engine,events_crossing_proxy_onset,detected_engine_count,missed_engine_count,engine_detection_coverage,missed_engine_rate,median_first_alert_delay,first_alert_delay_q1,first_alert_delay_q3,median_lead_cycles,lead_cycles_q1,lead_cycles_q3,detector_id,endpoint_false_alert_rate_percent
normalized_life_last_10pct_endpoint,True,9271,8169,1102,0,638,265,7904,464,0.7065337763012182,0.5789473684210527,0.6364089775561097,0.9675602888970498,32.43971110295018,23,2.815522095727751,52,22,42.30769230769231,51,15.0,0.9807692307692307,16,27,25,51.92307692307692,48.07692307692308,12.0,5.5,14.5,6.0,4.0,15.0,pca_reconstruction,3.2439711102950177
normalized_life_last_20pct_endpoint,True,9271,7095,2176,0,836,67,7028,1340,0.9258028792912514,0.38419117647058826,0.5430334524196168,0.9905567300916138,9.443269908386187,8,1.127554615926709,52,8,15.384615384615385,51,15.0,0.9807692307692307,3,41,11,78.84615384615384,21.153846153846153,25.0,16.0,33.0,16.0,5.0,27.0,pca_reconstruction,0.9443269908386187
normalized_life_last_30pct_endpoint,True,9271,6016,3255,0,872,31,5985,2383,0.9656699889258029,0.2678955453149002,0.41943241943241943,0.9948470744680851,5.152925531914893,4,0.6648936170212766,52,4,7.6923076923076925,51,15.0,0.9807692307692307,0,44,8,84.61538461538461,15.384615384615385,42.5,32.25,52.25,18.0,5.0,32.0,pca_reconstruction,0.5152925531914894
normalized_life_last_20pct_full_window,False,7765,7095,670,1506,462,67,7028,208,0.8733459357277883,0.6895522388059702,0.7706422018348624,0.9905567300916138,9.443269908386187,8,1.127554615926709,52,8,15.384615384615385,51,15.0,0.9807692307692307,3,41,11,78.84615384615384,21.153846153846153,25.0,16.0,33.0,16.0,5.0,27.0,pca_reconstruction,0.9443269908386187
normalized_life_last_30pct_full_window,False,7763,6016,1747,1508,790,31,5985,957,0.9622411693057247,0.45220377790497995,0.6152647975077882,0.9948470744680851,5.152925531914893,4,0.6648936170212766,52,4,7.6923076923076925,51,15.0,0.9807692307692307,0,44,8,84.61538461538461,15.384615384615385,42.5,32.25,52.25,18.0,5.0,32.0,pca_reconstruction,0.5152925531914894
normalized_life_last_10pct_endpoint,True,9271,8169,1102,0,745,432,7737,357,0.632965165675446,0.6760435571687841,0.6537955243527863,0.9471171502019831,52.88284979801689,29,3.5500061207002083,52,21,40.38461538461539,60,13.5,1.1538461538461537,20,29,23,55.76923076923077,44.23076923076923,10.0,5.0,15.0,7.0,4.0,13.0,lstm_calibrated_ensemble,5.2882849798016895
normalized_life_last_20pct_endpoint,True,9271,7095,2176,0,1040,137,6958,1136,0.8836023789294817,0.47794117647058826,0.6203399940351924,0.9806906272022551,19.309372797744892,10,1.409443269908386,52,9,17.307692307692307,60,13.5,1.1538461538461537,5,45,7,86.53846153846153,13.461538461538462,24.0,14.0,32.0,14.0,5.0,28.0,lstm_calibrated_ensemble,1.9309372797744893
normalized_life_last_30pct_endpoint,True,9271,6016,3255,0,1100,77,5939,2155,0.9345794392523364,0.3379416282642089,0.4963898916967509,0.9872007978723404,12.799202127659575,5,0.8311170212765957,52,4,7.6923076923076925,60,13.5,1.1538461538461537,1,48,4,92.3076923076923,7.6923076923076925,41.0,31.75,50.25,15.0,5.0,30.5,lstm_calibrated_ensemble,1.2799202127659575
normalized_life_last_20pct_full_window,False,7765,7095,670,1506,539,137,6958,131,0.7973372781065089,0.8044776119402985,0.8008915304606241,0.9806906272022551,19.309372797744892,10,1.409443269908386,52,9,17.307692307692307,60,13.5,1.1538461538461537,5,45,7,86.53846153846153,13.461538461538462,24.0,14.0,32.0,14.0,5.0,28.0,lstm_calibrated_ensemble,1.9309372797744893
normalized_life_last_30pct_full_window,False,7763,6016,1747,1508,988,77,5939,759,0.927699530516432,0.5655409273039497,0.7027027027027027,0.9872007978723404,12.799202127659575,5,0.8311170212765957,52,4,7.6923076923076925,60,13.5,1.1538461538461537,1,48,4,92.3076923076923,7.6923076923076925,41.0,31.75,50.25,15.0,5.0,30.5,lstm_calibrated_ensemble,1.2799202127659575
