seed,epoch,development_loss,monitor_loss
43,1,0.6887878327598121,0.5370299697274048
43,2,0.5589140371107121,0.49787653106652974
43,3,0.5435576087062651,0.4918486577707227
43,4,0.5388458025054828,0.48895435065708837
43,5,0.5367535930273459,0.4872927492240342
43,6,0.5354439327484561,0.48653331143984446
43,7,0.5347696829327268,0.4857351610731876
43,8,0.5340378985107604,0.48528721343409065
43,9,0.5334197964522287,0.4855885052858826
43,10,0.532918748067429,0.4850707743675004
43,11,0.5325865710972202,0.48469030702426347
43,12,0.5322006702461054,0.48456796888003695
43,13,0.5318812289267356,0.48469397835074407
43,14,0.5317781201211521,0.48455553557715586
43,15,0.531228221650318,0.48415119463737194
43,16,0.5307343809547442,0.48368793293428547
43,17,0.5301073735995934,0.48405625143040615
43,18,0.5298043091871721,0.48382943748628704
43,19,0.5292815393959035,0.48394880842440646
43,20,0.5289144828614066,0.4836236806572208
43,21,0.5282466847311528,0.4834011003014965
43,22,0.5278319912148399,0.4834189523019845
43,23,0.5274335055249454,0.48316908044745943
43,24,0.5270039280633319,0.4828803844446998
43,25,0.5263950480844816,0.482860683851164
43,26,0.5260223905144874,0.4827685467818463
43,27,0.5259342501944698,0.4826007452179513
43,28,0.5252180227360529,0.48204423152671855
43,29,0.5248536971436383,0.4823989441711305
43,30,0.5244520873508423,0.48186667941028494
43,31,0.5241185190616492,0.4822085760295141
43,32,0.5238329910210542,0.4816953734991375
43,33,0.5232641421209935,0.482082951497647
43,34,0.523111814361736,0.48173865658384024
43,35,0.5227088414300441,0.4812206729800774
43,36,0.5222254106534634,0.4812405339032261
43,37,0.52200217673886,0.4820970021347334
43,38,0.5217406264552586,0.481837750628433
43,39,0.5213613304338238,0.4810641321702358
43,40,0.5210195613502213,0.4814448662369301
43,41,0.5213055371627033,0.4810296856853939
43,42,0.5204337863230067,0.48110009624505384
43,43,0.520211732279552,0.4811647238559588
43,44,0.5196615562834336,0.48152645627756785
43,45,0.5199004410304325,0.48146405111585866
43,46,0.5195698955901683,0.48140925237518345
