score_source,detector,selection_mean_pr_auc,selection_mean_roc_auc,seed,result_classification
registered_p1_classical,isolation_forest,0.7891693415246449,0.9559210354459168,,validation_proxy_diagnostic
registered_p1_classical,lof,0.8496951348722845,0.9643631320006216,,validation_proxy_diagnostic
registered_p1_classical,one_class_svm,0.8328076731468985,0.9643711100022,,validation_proxy_diagnostic
registered_p1_classical,pca,0.7724072946895637,0.92503449818727,,validation_proxy_diagnostic
final_lstm_seed,lstm_autoencoder,0.816911636955859,0.9508336328566744,43,validation_proxy_diagnostic
final_lstm_seed,lstm_autoencoder,0.8078198800670036,0.9499175268691511,44,validation_proxy_diagnostic
final_lstm_seed,lstm_autoencoder,0.8054714144081839,0.9481629152885734,45,validation_proxy_diagnostic
final_lstm_calibrated_ensemble,lstm_autoencoder,0.8221205251743674,0.9512891505686406,,validation_proxy_diagnostic
