seed,epoch,training_loss
43,1,0.6468163738139356
43,2,0.5380810351612354
43,3,0.5290823402850651
43,4,0.5262002864073712
43,5,0.524760746172766
43,6,0.5237772016098726
43,7,0.5230923294973348
43,8,0.5225935680749163
43,9,0.5221749569677443
43,10,0.5217917236359668
43,11,0.5214020289416847
43,12,0.5210927686090194
43,13,0.5204623810833562
43,14,0.5198265843669544
43,15,0.5193524291153204
43,16,0.5188320278525222
43,17,0.5180900402620805
43,18,0.5174811196254857
43,19,0.5169931725838911
43,20,0.5164904834433526
43,21,0.515995974099698
43,22,0.5154865564761243
43,23,0.5149822575343254
43,24,0.5144830849678648
43,25,0.5140918053994685
43,26,0.5137245916059454
43,27,0.5131510299724499
43,28,0.5127509794337379
43,29,0.5122193597241523
43,30,0.5118512196255645
43,31,0.511501808738352
43,32,0.5109958439861493
43,33,0.5105785891003795
43,34,0.5103301679304298
43,35,0.5100154750185926
43,36,0.5096584542736922
43,37,0.5094419223096309
43,38,0.5090964474495874
43,39,0.5087148042235473
43,40,0.5090732319673701
43,41,0.5087548716876069
43,42,0.5081368846478519
43,43,0.5078866819563012
43,44,0.5071968764230015
43,45,0.5072402921259662
43,46,0.5072781770798866
43,47,0.506437503840627
43,48,0.5064205906180179
43,49,0.5059813158298236
43,50,0.5060491438257687
43,51,0.5055929019600197
43,52,0.5054537063133605
43,53,0.5054874989068985
43,54,0.504733071747245
44,1,0.6493169014077572
44,2,0.5447490443239866
44,3,0.5298870211870649
44,4,0.5262536486571789
44,5,0.5246736347211193
44,6,0.5235803996359479
44,7,0.5229145690934702
44,8,0.5224205075152207
44,9,0.5220391172535539
44,10,0.5217530597856616
44,11,0.5213599349929569
44,12,0.5210219395077617
44,13,0.5208448099761173
44,14,0.520330404461351
44,15,0.5198289733723422
44,16,0.5193792116413933
44,17,0.5190292698982883
44,18,0.5183027128268669
44,19,0.5177285984877581
44,20,0.5172815018072612
44,21,0.5165731147790084
44,22,0.5161615334348244
44,23,0.5155098427391273
44,24,0.5151566336934069
44,25,0.5146386605193001
44,26,0.5144393116680611
44,27,0.5136732035245729
44,28,0.5132804769507234
44,29,0.5127842030113076
44,30,0.5123069143250659
44,31,0.511931038809831
44,32,0.5114359284449833
44,33,0.5110706401965731
44,34,0.510653881391788
44,35,0.5101055980387986
44,36,0.5097556116730244
44,37,0.5093312353169877
44,38,0.5093817038636314
44,39,0.5087266258457258
44,40,0.5084336875622378
44,41,0.5080436281930382
44,42,0.5080561413127184
44,43,0.5074419428914525
44,44,0.5073410141072138
44,45,0.5066871329000712
44,46,0.5066366581985766
44,47,0.5061776324937526
44,48,0.5062398115675155
44,49,0.5053187532054464
44,50,0.5048003781195739
44,51,0.504893239432958
44,52,0.5051991872248536
44,53,0.5042408175409706
44,54,0.5040874137286855
45,1,0.646646242963282
45,2,0.5405714715692171
45,3,0.5297681254697382
45,4,0.5264458378780753
45,5,0.5247161321203254
45,6,0.5236925834883371
45,7,0.5229569538589044
45,8,0.5224275809776503
45,9,0.5218466975334902
45,10,0.5214899045180742
45,11,0.5210227633345584
45,12,0.5207244392487654
45,13,0.5203379853912398
45,14,0.5200465953605029
45,15,0.5196617691533052
45,16,0.5192127730858118
45,17,0.5188175476424853
45,18,0.5184490117869827
45,19,0.5180845098207786
45,20,0.5175236071769304
45,21,0.5171421362867163
45,22,0.5167419500335415
45,23,0.5161623523377404
45,24,0.51561683035862
45,25,0.5150034194505304
45,26,0.5146958932471142
45,27,0.5140500622772436
45,28,0.5136373139733236
45,29,0.5130849382599517
45,30,0.5127707432755545
45,31,0.5121678442373657
45,32,0.512173115251701
45,33,0.5115482587828245
45,34,0.5115658105712174
45,35,0.5109699225237213
45,36,0.5104593887179317
45,37,0.5101929790729159
45,38,0.5097685325515786
45,39,0.5098968199559372
45,40,0.5094296279949012
45,41,0.508825612466754
45,42,0.5087851461683541
45,43,0.5083493470244792
45,44,0.5079576886250082
45,45,0.5077617455605307
45,46,0.5075466418296274
45,47,0.5070504654445989
45,48,0.5069167026848543
45,49,0.5065130072434225
45,50,0.5063384292052305
45,51,0.5059088163020238
45,52,0.5058959434313067
45,53,0.5055835195052643
45,54,0.5052958900884447
