pipeline,detector,candidate_id,parameters,policy_id,policy_semantics,selection_policy,healthy_windows,ambiguous_windows,anomalous_windows,pr_auc,roc_auc,selection_mean_pr_auc,selection_mean_roc_auc
p0_global,lof,lof_candidate_3,"{""n_neighbors"": 50}",normalized_life_last_30pct_endpoint,endpoint,True,6075,0,3290,0.48986494724729057,0.6610522471137128,0.4044354964642875,0.7168755272467099
p0_global,lof,lof_candidate_3,"{""n_neighbors"": 50}",normalized_life_last_30pct_full_window,full_window,False,6075,1508,1782,0.43390290915096735,0.7460291067972824,0.4044354964642875,0.7168755272467099
p0_global,one_class_svm,one_class_svm_candidate_1,"{""gamma"": ""scale"", ""nu"": 0.01}",normalized_life_last_10pct_endpoint,endpoint,True,8253,0,1112,0.2511176500919631,0.751800794914777,0.34887663817174835,0.6864451097509381
p0_global,one_class_svm,one_class_svm_candidate_1,"{""gamma"": ""scale"", ""nu"": 0.01}",normalized_life_last_20pct_endpoint,endpoint,True,7170,0,2195,0.3480006969144756,0.6723780431626335,0.34887663817174835,0.6864451097509381
p0_global,one_class_svm,one_class_svm_candidate_1,"{""gamma"": ""scale"", ""nu"": 0.01}",normalized_life_last_20pct_full_window,full_window,False,7170,1505,690,0.23406680802912594,0.7997633052372001,0.34887663817174835,0.6864451097509381
p0_global,one_class_svm,one_class_svm_candidate_1,"{""gamma"": ""scale"", ""nu"": 0.01}",normalized_life_last_30pct_endpoint,endpoint,True,6075,0,3290,0.4475115675088065,0.6351564911754036,0.34887663817174835,0.6864451097509381
p0_global,one_class_svm,one_class_svm_candidate_1,"{""gamma"": ""scale"", ""nu"": 0.01}",normalized_life_last_30pct_full_window,full_window,False,6075,1508,1782,0.3667593161057771,0.7087250650076439,0.34887663817174835,0.6864451097509381
p0_global,one_class_svm,one_class_svm_candidate_2,"{""gamma"": ""scale"", ""nu"": 0.05}",normalized_life_last_10pct_endpoint,endpoint,True,8253,0,1112,0.207947857259254,0.7084149474313679,0.31547199513704943,0.6560349513765461
p0_global,one_class_svm,one_class_svm_candidate_2,"{""gamma"": ""scale"", ""nu"": 0.05}",normalized_life_last_20pct_endpoint,endpoint,True,7170,0,2195,0.3148238890241802,0.6441217678062542,0.31547199513704943,0.6560349513765461
p0_global,one_class_svm,one_class_svm_candidate_2,"{""gamma"": ""scale"", ""nu"": 0.05}",normalized_life_last_20pct_full_window,full_window,False,7170,1505,690,0.1806506695377035,0.7506835041335678,0.31547199513704943,0.6560349513765461
p0_global,one_class_svm,one_class_svm_candidate_2,"{""gamma"": ""scale"", ""nu"": 0.05}",normalized_life_last_30pct_endpoint,endpoint,True,6075,0,3290,0.4236442391277142,0.615568138892016,0.31547199513704943,0.6560349513765461
p0_global,one_class_svm,one_class_svm_candidate_2,"{""gamma"": ""scale"", ""nu"": 0.05}",normalized_life_last_30pct_full_window,full_window,False,6075,1508,1782,0.32875464560707024,0.6771938405546087,0.31547199513704943,0.6560349513765461
p0_global,one_class_svm,one_class_svm_candidate_3,"{""gamma"": ""scale"", ""nu"": 0.1}",normalized_life_last_10pct_endpoint,endpoint,True,8253,0,1112,0.18841032417244075,0.6822121365067161,0.30029259752787624,0.6379131942617468
