study_id,split_manifest_id,preprocessing_decision_id,pipeline,detector,candidate_id,parameters,random_state,healthy_training_fraction,fit_window_count,fit_engine_count,fit_engine_ids_sha256,feature_definition,feature_count,score_calibration,result_classification,selection_mean_pr_auc,selection_mean_roc_auc,artifact_path
fd002-classical-baselines-v1,fd002-primary-v1,fd002-preprocessing-selection-v1,p0_global,isolation_forest,isolation_forest_candidate_3,"{""max_samples"": 5000, ""n_estimators"": 300}",42,0.3,5037,156,50a687c48e117a5499d4f68931d29ec0d3ef5201e8797f247436f3f5b43af25d,mean_std_end_minus_start_per_sensor,63,empirical_cdf_fitted_on_healthy_training_scores,validation_selected_not_test_performance,0.2545954469434417,0.5610994022012278,models\baselines_v2\p0_global\isolation_forest.joblib
fd002-classical-baselines-v1,fd002-primary-v1,fd002-preprocessing-selection-v1,p0_global,lof,lof_candidate_1,"{""n_neighbors"": 20}",42,0.3,5037,156,50a687c48e117a5499d4f68931d29ec0d3ef5201e8797f247436f3f5b43af25d,mean_std_end_minus_start_per_sensor,63,empirical_cdf_fitted_on_healthy_training_scores,validation_selected_not_test_performance,0.4953102157427109,0.772648251464115,models\baselines_v2\p0_global\lof.joblib
fd002-classical-baselines-v1,fd002-primary-v1,fd002-preprocessing-selection-v1,p0_global,one_class_svm,one_class_svm_candidate_1,"{""gamma"": ""scale"", ""nu"": 0.01}",42,0.3,5037,156,50a687c48e117a5499d4f68931d29ec0d3ef5201e8797f247436f3f5b43af25d,mean_std_end_minus_start_per_sensor,63,empirical_cdf_fitted_on_healthy_training_scores,validation_selected_not_test_performance,0.34887663817174835,0.6864451097509381,models\baselines_v2\p0_global\one_class_svm.joblib
fd002-classical-baselines-v1,fd002-primary-v1,fd002-preprocessing-selection-v1,p0_global,pca,pca_candidate_3,"{""n_components"": 0.99}",42,0.3,5037,156,50a687c48e117a5499d4f68931d29ec0d3ef5201e8797f247436f3f5b43af25d,mean_std_end_minus_start_per_sensor,63,empirical_cdf_fitted_on_healthy_training_scores,validation_selected_not_test_performance,0.7217192761097109,0.9294763290128648,models\baselines_v2\p0_global\pca.joblib
fd002-classical-baselines-v1,fd002-primary-v1,fd002-preprocessing-selection-v1,p1_k6,isolation_forest,isolation_forest_candidate_1,"{""max_samples"": 256, ""n_estimators"": 300}",42,0.3,5037,156,50a687c48e117a5499d4f68931d29ec0d3ef5201e8797f247436f3f5b43af25d,mean_std_end_minus_start_per_sensor,63,empirical_cdf_fitted_on_healthy_training_scores,validation_selected_not_test_performance,0.7891693415246449,0.9559210354459168,models\baselines_v2\p1_k6\isolation_forest.joblib
fd002-classical-baselines-v1,fd002-primary-v1,fd002-preprocessing-selection-v1,p1_k6,lof,lof_candidate_1,"{""n_neighbors"": 20}",42,0.3,5037,156,50a687c48e117a5499d4f68931d29ec0d3ef5201e8797f247436f3f5b43af25d,mean_std_end_minus_start_per_sensor,63,empirical_cdf_fitted_on_healthy_training_scores,validation_selected_not_test_performance,0.8496951348722845,0.9643631320006215,models\baselines_v2\p1_k6\lof.joblib
fd002-classical-baselines-v1,fd002-primary-v1,fd002-preprocessing-selection-v1,p1_k6,one_class_svm,one_class_svm_candidate_3,"{""gamma"": ""scale"", ""nu"": 0.1}",42,0.3,5037,156,50a687c48e117a5499d4f68931d29ec0d3ef5201e8797f247436f3f5b43af25d,mean_std_end_minus_start_per_sensor,63,empirical_cdf_fitted_on_healthy_training_scores,validation_selected_not_test_performance,0.8328076731468985,0.9643711100022,models\baselines_v2\p1_k6\one_class_svm.joblib
fd002-classical-baselines-v1,fd002-primary-v1,fd002-preprocessing-selection-v1,p1_k6,pca,pca_candidate_1,"{""n_components"": 0.9}",42,0.3,5037,156,50a687c48e117a5499d4f68931d29ec0d3ef5201e8797f247436f3f5b43af25d,mean_std_end_minus_start_per_sensor,63,empirical_cdf_fitted_on_healthy_training_scores,validation_selected_not_test_performance,0.7724072946895637,0.9250344981872701,models\baselines_v2\p1_k6\pca.joblib
