epoch,train_loss,valid_loss
1,0.6750304911447608,0.6951409578323364
2,0.6549585140269736,0.6779031753540039
3,0.6325978574545487,0.6869125366210938
4,0.6283238602721173,0.6894962787628174
5,0.6224172509234884,0.684319019317627
6,0.6219517256902611,0.6818146705627441
7,0.6185281452925309,0.6853196620941162
8,0.6135484508846117,0.684842586517334
9,0.6083864652592202,0.6773218512535095
10,0.6048914085263791,0.6775181889533997
11,0.603740566191466,0.6783211827278137
12,0.6017937204112177,0.6766892671585083
13,0.6015781573627306,0.6744160652160645
14,0.5995319133219512,0.6730037331581116
15,0.5981469869613647,0.6715068221092224
