candidate_id,detector_id,threshold_context,threshold_rule_id,ewma_id,ewma_alpha,persistence,minimum_engine_detection_coverage,mean_engine_detection_coverage,worst_false_positive_alerted_endpoints_per_1000,worst_false_alert_events_per_1000,worst_percent_engines_with_healthy_false_alert,median_policy_median_detection_delay,median_policy_median_lead_cycles,feasible
lof__global__quantile_0.950__ewma_alpha_0.80__persistence_3,lof,global,quantile_0.950,alpha_0.80,0.8,3,0.0,19.23076923076923,462.49848539924875,32.26337448559671,100.0,,,False
lof__global__quantile_0.950__ewma_alpha_0.80__persistence_5,lof,global,quantile_0.950,alpha_0.80,0.8,5,0.0,19.871794871794872,412.0925723979159,20.502092050209207,100.0,,,False
lof__global__quantile_0.950__ewma_alpha_0.80__persistence_8,lof,global,quantile_0.950,alpha_0.80,0.8,8,0.0,22.435897435897434,362.65600387737794,14.504881450488146,100.0,,,False
lof__global__quantile_0.975__ewma_off__persistence_1,lof,global,quantile_0.975,off,,1,0.0,19.23076923076923,529.2620865139949,124.2798353909465,100.0,,,False
lof__global__quantile_0.975__ewma_off__persistence_3,lof,global,quantile_0.975,off,,3,0.0,21.794871794871796,386.041439476554,30.404463040446306,100.0,,,False
lof__global__quantile_0.975__ewma_off__persistence_5,lof,global,quantile_0.975,off,,5,0.0,24.358974358974354,337.4530473767115,18.828451882845187,100.0,,,False
lof__global__quantile_0.975__ewma_off__persistence_8,lof,global,quantile_0.975,off,,8,0.0,28.205128205128204,290.56100811826,13.110181311018131,100.0,,,False
lof__global__quantile_0.975__ewma_alpha_0.20__persistence_1,lof,global,quantile_0.975,alpha_0.20,0.2,1,0.0,23.717948717948715,357.8092814734036,15.06276150627615,100.0,,,False
lof__global__quantile_0.975__ewma_alpha_0.20__persistence_3,lof,global,quantile_0.975,alpha_0.20,0.2,3,0.0,25.0,330.5464679510481,12.552301255230125,100.0,,,False
lof__global__quantile_0.975__ewma_alpha_0.20__persistence_5,lof,global,quantile_0.975,alpha_0.20,0.2,5,3.8461538461538463,28.846153846153843,307.16103235187205,11.436541143654114,98.07692307692308,7.5,24.5,False
lof__global__quantile_0.975__ewma_alpha_0.20__persistence_8,lof,global,quantile_0.975,alpha_0.20,0.2,8,3.8461538461538463,32.05128205128205,276.86901732703257,8.966436447352478,98.07692307692308,8.0,27.5,False
lof__global__quantile_0.975__ewma_alpha_0.50__persistence_1,lof,global,quantile_0.975,alpha_0.50,0.5,1,0.0,18.58974358974359,430.38894947291897,34.23868312757202,100.0,,,False
lof__global__quantile_0.975__ewma_alpha_0.50__persistence_3,lof,global,quantile_0.975,alpha_0.50,0.5,3,0.0,21.794871794871796,377.0750030292015,20.502092050209207,100.0,,,False
lof__global__quantile_0.975__ewma_alpha_0.50__persistence_5,lof,global,quantile_0.975,alpha_0.50,0.5,5,0.0,23.076923076923077,340.9669211195929,16.875871687587168,100.0,,,False
lof__global__quantile_0.975__ewma_alpha_0.50__persistence_8,lof,global,quantile_0.975,alpha_0.50,0.5,8,3.8461538461538463,27.564102564102566,298.9216042651157,11.854951185495118,98.07692307692308,5.5,25.0,False
lof__global__quantile_0.975__ewma_alpha_0.80__persistence_1,lof,global,quantile_0.975,alpha_0.80,0.8,1,0.0,17.94871794871795,473.767114988489,68.47736625514403,100.0,,,False
lof__global__quantile_0.975__ewma_alpha_0.80__persistence_3,lof,global,quantile_0.975,alpha_0.80,0.8,3,0.0,21.153846153846153,384.4662546952623,25.662482566248258,100.0,,,False
lof__global__quantile_0.975__ewma_alpha_0.80__persistence_5,lof,global,quantile_0.975,alpha_0.80,0.8,5,0.0,23.71794871794872,341.8150975402884,17.294281729428175,100.0,,,False
lof__global__quantile_0.975__ewma_alpha_0.80__persistence_8,lof,global,quantile_0.975,alpha_0.80,0.8,8,3.8461538461538463,28.84615384615385,297.70992366412213,12.273361227336123,98.07692307692308,5.0,26.0,False
lof__global__quantile_0.990__ewma_off__persistence_1,lof,global,quantile_0.990,off,,1,0.0,24.35897435897436,380.71004483218223,77.86008230452676,100.0,,,False
lof__global__quantile_0.990__ewma_off__persistence_3,lof,global,quantile_0.990,off,,3,0.0,28.205128205128204,283.4120925723979,18.13110181311018,100.0,,,False
lof__global__quantile_0.990__ewma_off__persistence_5,lof,global,quantile_0.990,off,,5,1.9230769230769231,30.128205128205128,251.3025566460681,12.831241283124129,98.07692307692308,4.0,27.0,False
lof__global__quantile_0.990__ewma_off__persistence_8,lof,global,quantile_0.990,off,,8,3.8461538461538463,33.97435897435898,217.86017205864533,8.966436447352478,98.07692307692308,7.0,24.0,False
lof__global__quantile_0.990__ewma_alpha_0.20__persistence_1,lof,global,quantile_0.990,alpha_0.20,0.2,1,3.8461538461538463,32.05128205128205,244.3959772204047,9.93578092814734,100.0,8.0,25.0,False
lof__global__quantile_0.990__ewma_alpha_0.20__persistence_3,lof,global,quantile_0.990,alpha_0.20,0.2,3,3.8461538461538463,32.692307692307686,225.7360959651036,7.9970919665576155,98.07692307692308,10.0,23.0,False
lof__global__quantile_0.990__ewma_alpha_0.20__persistence_5,lof,global,quantile_0.990,alpha_0.20,0.2,5,3.8461538461538463,35.256410256410255,209.9842481521871,7.512419726160184,98.07692307692308,10.0,27.0,False
