candidate_id,policy_id,false_positive_alerted_endpoints_per_1000,false_positive_endpoint_target_met,median_first_alert_delay,median_delay_aspiration_met,target_attainment_status,gate_4_status
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,normalized_life_last_10pct_endpoint,44.711014176663035,True,7.0,True,feasible_validation_recommendation,recommended_pending_owner_approval
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,normalized_life_last_20pct_endpoint,15.341701534170154,True,23.0,False,feasible_validation_recommendation,recommended_pending_owner_approval
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,normalized_life_last_30pct_endpoint,9.053497942386832,True,38.0,False,feasible_validation_recommendation,recommended_pending_owner_approval
