detector_id,threshold_context,threshold_rule_id,operating_mode,threshold,reference_count,reference_split,clipped
one_class_svm,per_mode,quantile_0.975,2,0.9813380980742505,719,train,False
one_class_svm,per_mode,quantile_0.975,3,0.9878896168354179,765,train,False
one_class_svm,per_mode,quantile_0.975,4,0.9739924558268811,747,train,False
one_class_svm,per_mode,quantile_0.975,5,0.965257097478658,1282,train,False
one_class_svm,per_mode,quantile_0.990,0,0.9898749255509232,756,train,False
one_class_svm,per_mode,quantile_0.990,1,0.9805439745880484,768,train,False
one_class_svm,per_mode,quantile_0.990,2,0.9936470121103832,719,train,False
one_class_svm,per_mode,quantile_0.990,3,0.9974190986698431,765,train,False
one_class_svm,per_mode,quantile_0.990,4,0.984514592019059,747,train,False
one_class_svm,per_mode,quantile_0.990,5,0.9872940242207663,1282,train,False
one_class_svm,per_mode,quantile_0.995,0,0.99245582688108,756,train,False
one_class_svm,per_mode,quantile_0.995,1,0.9868969624776652,768,train,False
one_class_svm,per_mode,quantile_0.995,2,0.9950367282112369,719,train,False
one_class_svm,per_mode,quantile_0.995,3,0.9986102838991463,765,train,False
one_class_svm,per_mode,quantile_0.995,4,0.989080802064721,747,train,False
one_class_svm,per_mode,quantile_0.995,5,0.9944411355965853,1282,train,False
one_class_svm,per_mode,mean_plus_1.0_std,0,0.8073685940980974,756,train,False
one_class_svm,per_mode,mean_plus_1.0_std,1,0.7706440109213883,768,train,False
one_class_svm,per_mode,mean_plus_1.0_std,2,0.8462990647595147,719,train,False
one_class_svm,per_mode,mean_plus_1.0_std,3,0.7635560305729598,765,train,False
one_class_svm,per_mode,mean_plus_1.0_std,4,0.8049939440562008,747,train,False
one_class_svm,per_mode,mean_plus_1.0_std,5,0.753131003470602,1282,train,False
one_class_svm,per_mode,mean_plus_1.5_std,0,0.9541448834201984,756,train,False
one_class_svm,per_mode,mean_plus_1.5_std,1,0.9161421453196115,768,train,False
one_class_svm,per_mode,mean_plus_1.5_std,2,0.984072894722414,719,train,False
one_class_svm,per_mode,mean_plus_1.5_std,3,0.9092890143864574,765,train,False
one_class_svm,per_mode,mean_plus_1.5_std,4,0.9459760590916427,747,train,False
one_class_svm,per_mode,mean_plus_1.5_std,5,0.8957014694068535,1282,train,False
one_class_svm,per_mode,mean_plus_2.0_std,0,1.1009211727422996,756,train,False
one_class_svm,per_mode,mean_plus_2.0_std,1,1.0616402797178346,768,train,False
one_class_svm,per_mode,mean_plus_2.0_std,2,1.1218467246853134,719,train,False
one_class_svm,per_mode,mean_plus_2.0_std,3,1.055021998199955,765,train,False
one_class_svm,per_mode,mean_plus_2.0_std,4,1.0869581741270846,747,train,False
one_class_svm,per_mode,mean_plus_2.0_std,5,1.038271935343105,1282,train,False
isolation_forest,global,quantile_0.900,global,0.9001389716100854,5037,train,False
