candidate_id,detector_id,threshold_context,threshold_rule_id,ewma_id,ewma_alpha,persistence,minimum_engine_detection_coverage,mean_engine_detection_coverage,worst_false_positive_alerted_endpoints_per_1000,worst_false_alert_events_per_1000,worst_percent_engines_with_healthy_false_alert,median_policy_median_detection_delay,median_policy_median_lead_cycles,feasible,selection_status,median_delay_aspiration_met
lof__global__mean_plus_2.0_std__ewma_alpha_0.20__persistence_1,lof,global,mean_plus_2.0_std,alpha_0.20,0.2,1,0.0,0.0,0.0,0.0,0.0,,,True,recommended_pending_owner_approval,False
one_class_svm__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,one_class_svm,per_mode,quantile_0.995,alpha_0.20,0.2,8,46.15384615384615,78.84615384615385,45.80152671755725,3.9985459832788077,55.76923076923077,20.0,21.0,True,recommended_pending_owner_approval,False
isolation_forest__global__mean_plus_2.0_std__ewma_alpha_0.20__persistence_1,isolation_forest,global,mean_plus_2.0_std,alpha_0.20,0.2,1,0.0,0.0,0.0,0.0,0.0,,,True,recommended_pending_owner_approval,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,per_mode,quantile_0.995,alpha_0.20,0.2,8,57.69230769230769,78.2051282051282,44.711014176663035,3.5138737428813767,44.23076923076923,23.0,18.0,True,recommended_pending_owner_approval,False
lstm_calibrated_ensemble__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_3,lstm_calibrated_ensemble,per_mode,quantile_0.995,alpha_0.20,0.2,3,53.84615384615385,80.12820512820512,41.31830849388101,4.2408821034775235,48.07692307692308,18.0,20.0,True,recommended_pending_owner_approval,False
