run_id,stage,pipeline,architecture_id,seed,parameter_count,epochs_completed,best_epoch,best_monitor_loss,selection_mean_pr_auc,selection_mean_roc_auc,artifact_path
fd002_lstm_v1_stage1_p1_k6_balanced_64x16_l1_seed42,stage1,p1_k6,balanced_64x16_l1,42,59045,50,49,0.4798951275874983,0.8120895167316919,0.951933805014903,models\lstm_v2\fd002_lstm_v1_stage1_p1_k6_balanced_64x16_l1_seed42.pt
fd002_lstm_v1_stage1_p1_k6_compact_32x8_l1_seed42,stage1,p1_k6,compact_32x8_l1,42,16733,38,31,0.4841407946390742,0.8102617593586895,0.9531410088358477,models\lstm_v2\fd002_lstm_v1_stage1_p1_k6_compact_32x8_l1_seed42.pt
fd002_lstm_v1_stage1_p1_k6_stacked_64x16_l2_seed42,stage1,p1_k6,stacked_64x16_l2,42,125605,20,13,0.48459463383730916,0.8087449510018839,0.9512147362712234,models\lstm_v2\fd002_lstm_v1_stage1_p1_k6_stacked_64x16_l2_seed42.pt
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,59045,50,50,0.8183525465839537,0.24827346724209867,0.5320306252188131,models\lstm_v2\fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43.pt
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed44,stage2,p0_global,balanced_64x16_l1,44,59045,50,50,0.7936605316429479,0.24004696080690416,0.5234003112704685,models\lstm_v2\fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed44.pt
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed45,stage2,p0_global,balanced_64x16_l1,45,59045,50,47,0.800865242029446,0.2376384413914121,0.5208251276722767,models\lstm_v2\fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed45.pt
fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed43,stage2,p1_k6,balanced_64x16_l1,43,59045,50,47,0.4806147297430849,0.8096174347354642,0.9507896124673748,models\lstm_v2\fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed43.pt
fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed44,stage2,p1_k6,balanced_64x16_l1,44,59045,50,50,0.48088688815264347,0.8108828308398239,0.9523263402638339,models\lstm_v2\fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed44.pt
fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed45,stage2,p1_k6,balanced_64x16_l1,45,59045,50,47,0.48090395845391304,0.8127866266933063,0.951046974862784,models\lstm_v2\fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed45.pt
