run_id,stage,pipeline,architecture_id,seed,parameter_count,epochs_completed,best_epoch,best_monitor_loss,selection_mean_pr_auc,selection_mean_roc_auc,artifact_path,policy_id,policy_semantics,selection_policy,healthy_windows,ambiguous_windows,anomalous_windows,pr_auc,roc_auc
fd002_lstm_v1_stage1_p1_k6_stacked_64x16_l2_seed42,stage1,p1_k6,stacked_64x16_l2,42,125605,20,13,0.48459463383730916,0.8087449510018839,0.9512147362712234,models\lstm_v2\fd002_lstm_v1_stage1_p1_k6_stacked_64x16_l2_seed42.pt,normalized_life_last_30pct_full_window,full_window,False,6075,1508,1782,0.9730479046666627,0.9936978380051082
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,59045,50,50,0.8183525465839537,0.24827346724209867,0.5320306252188131,models\lstm_v2\fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43.pt,normalized_life_last_10pct_endpoint,endpoint,True,8253,0,1112,0.12693714859707234,0.5375919547894945
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,59045,50,50,0.8183525465839537,0.24827346724209867,0.5320306252188131,models\lstm_v2\fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43.pt,normalized_life_last_20pct_endpoint,endpoint,True,7170,0,2195,0.24511743731752134,0.5257481978504462
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,59045,50,50,0.8183525465839537,0.24827346724209867,0.5320306252188131,models\lstm_v2\fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43.pt,normalized_life_last_20pct_full_window,full_window,False,7170,1505,690,0.09223133399243783,0.5326193075010611
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,59045,50,50,0.8183525465839537,0.24827346724209867,0.5320306252188131,models\lstm_v2\fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43.pt,normalized_life_last_30pct_endpoint,endpoint,True,6075,0,3290,0.3727658158117023,0.5327517230164984
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,59045,50,50,0.8183525465839537,0.24827346724209867,0.5320306252188131,models\lstm_v2\fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43.pt,normalized_life_last_30pct_full_window,full_window,False,6075,1508,1782,0.23405069995944439,0.5208952811147598
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed44,stage2,p0_global,balanced_64x16_l1,44,59045,50,50,0.7936605316429479,0.24004696080690416,0.5234003112704685,models\lstm_v2\fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed44.pt,normalized_life_last_10pct_endpoint,endpoint,True,8253,0,1112,0.1216950347597145,0.5297833162041795
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed44,stage2,p0_global,balanced_64x16_l1,44,59045,50,50,0.7936605316429479,0.24004696080690416,0.5234003112704685,models\lstm_v2\fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed44.pt,normalized_life_last_20pct_endpoint,endpoint,True,7170,0,2195,0.23754682103875394,0.5181817113193101
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed44,stage2,p0_global,balanced_64x16_l1,44,59045,50,50,0.7936605316429479,0.24004696080690416,0.5234003112704685,models\lstm_v2\fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed44.pt,normalized_life_last_20pct_full_window,full_window,False,7170,1505,690,0.08643943975430685,0.5157409091827865
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed44,stage2,p0_global,balanced_64x16_l1,44,59045,50,50,0.7936605316429479,0.24004696080690416,0.5234003112704685,models\lstm_v2\fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed44.pt,normalized_life_last_30pct_endpoint,endpoint,True,6075,0,3290,0.3608990266222441,0.5222359062879157
