run_id,stage,pipeline,architecture_id,seed,parameter_count,epochs_completed,best_epoch,best_monitor_loss,selection_mean_pr_auc,selection_mean_roc_auc,artifact_path
fd002_lstm_v1_stage1_p1_k6_balanced_64x16_l1_seed42,stage1,p1_k6,balanced_64x16_l1,42,59045,50,49,0.4798951275874983,0.8120895167316919,0.951933805014903,models\lstm_v2\fd002_lstm_v1_stage1_p1_k6_balanced_64x16_l1_seed42.pt
fd002_lstm_v1_stage1_p1_k6_compact_32x8_l1_seed42,stage1,p1_k6,compact_32x8_l1,42,16733,38,31,0.4841407946390742,0.8102617593586895,0.9531410088358477,models\lstm_v2\fd002_lstm_v1_stage1_p1_k6_compact_32x8_l1_seed42.pt
fd002_lstm_v1_stage1_p1_k6_stacked_64x16_l2_seed42,stage1,p1_k6,stacked_64x16_l2,42,125605,20,13,0.48459463383730916,0.8087449510018839,0.9512147362712234,models\lstm_v2\fd002_lstm_v1_stage1_p1_k6_stacked_64x16_l2_seed42.pt
