run_id,datetime,owner,experiment_name,model,params,train_size,valid_size,metric_name,metric_value,notes,artifact_path
fd002_lstm_v1_stage1_p1_k6_compact_32x8_l1_seed42,2026-08-22T05:02:11+05:30,shivam,lstm_validation_screen,lstm_autoencoder,"{""architecture"": {""architecture_id"": ""compact_32x8_l1"", ""dropout"": 0.0, ""hidden_dim"": 32, ""latent_dim"": 8, ""num_layers"": 1}, ""pipeline"": ""p1_k6"", ""seed"": 42, ""stage"": ""stage1"", ""training"": {""batch_size"": 128, ""gradient_clip_norm"": 1.0, ""learning_rate"": 0.001, ""max_epochs"": 50, ""min_delta"": 1e-05, ""minimum_epochs"": 10, ""patience"": 7, ""weight_decay"": 1e-05}}",3988,9365,mean_validation_pr_auc_endpoint_policies,0.8102617593586895,evidence=validation_proxy_only; monitor_windows=1049; best_epoch=31; best_monitor_loss=0.4841407946; mean_roc_auc=0.9531410088; no threshold or test access,models\lstm_v2\fd002_lstm_v1_stage1_p1_k6_compact_32x8_l1_seed42.pt
fd002_lstm_v1_stage1_p1_k6_balanced_64x16_l1_seed42,2026-08-22T05:02:11+05:30,shivam,lstm_validation_screen,lstm_autoencoder,"{""architecture"": {""architecture_id"": ""balanced_64x16_l1"", ""dropout"": 0.0, ""hidden_dim"": 64, ""latent_dim"": 16, ""num_layers"": 1}, ""pipeline"": ""p1_k6"", ""seed"": 42, ""stage"": ""stage1"", ""training"": {""batch_size"": 128, ""gradient_clip_norm"": 1.0, ""learning_rate"": 0.001, ""max_epochs"": 50, ""min_delta"": 1e-05, ""minimum_epochs"": 10, ""patience"": 7, ""weight_decay"": 1e-05}}",3988,9365,mean_validation_pr_auc_endpoint_policies,0.8120895167316919,evidence=validation_proxy_only; monitor_windows=1049; best_epoch=49; best_monitor_loss=0.4798951276; mean_roc_auc=0.9519338050; no threshold or test access,models\lstm_v2\fd002_lstm_v1_stage1_p1_k6_balanced_64x16_l1_seed42.pt
fd002_lstm_v1_stage1_p1_k6_stacked_64x16_l2_seed42,2026-08-22T05:02:11+05:30,shivam,lstm_validation_screen,lstm_autoencoder,"{""architecture"": {""architecture_id"": ""stacked_64x16_l2"", ""dropout"": 0.2, ""hidden_dim"": 64, ""latent_dim"": 16, ""num_layers"": 2}, ""pipeline"": ""p1_k6"", ""seed"": 42, ""stage"": ""stage1"", ""training"": {""batch_size"": 128, ""gradient_clip_norm"": 1.0, ""learning_rate"": 0.001, ""max_epochs"": 50, ""min_delta"": 1e-05, ""minimum_epochs"": 10, ""patience"": 7, ""weight_decay"": 1e-05}}",3988,9365,mean_validation_pr_auc_endpoint_policies,0.8087449510018839,evidence=validation_proxy_only; monitor_windows=1049; best_epoch=13; best_monitor_loss=0.4845946338; mean_roc_auc=0.9512147363; no threshold or test access,models\lstm_v2\fd002_lstm_v1_stage1_p1_k6_stacked_64x16_l2_seed42.pt
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,2026-08-22T05:02:11+05:30,shivam,lstm_validation_screen,lstm_autoencoder,"{""architecture"": {""architecture_id"": ""balanced_64x16_l1"", ""dropout"": 0.0, ""hidden_dim"": 64, ""latent_dim"": 16, ""num_layers"": 1}, ""pipeline"": ""p0_global"", ""seed"": 43, ""stage"": ""stage2"", ""training"": {""batch_size"": 128, ""gradient_clip_norm"": 1.0, ""learning_rate"": 0.001, ""max_epochs"": 50, ""min_delta"": 1e-05, ""minimum_epochs"": 10, ""patience"": 7, ""weight_decay"": 1e-05}}",3988,9365,mean_validation_pr_auc_endpoint_policies,0.24827346724209867,evidence=validation_proxy_only; monitor_windows=1049; best_epoch=50; best_monitor_loss=0.8183525466; mean_roc_auc=0.5320306252; no threshold or test access,models\lstm_v2\fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43.pt
fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed43,2026-08-22T05:02:11+05:30,shivam,lstm_validation_screen,lstm_autoencoder,"{""architecture"": {""architecture_id"": ""balanced_64x16_l1"", ""dropout"": 0.0, ""hidden_dim"": 64, ""latent_dim"": 16, ""num_layers"": 1}, ""pipeline"": ""p1_k6"", ""seed"": 43, ""stage"": ""stage2"", ""training"": {""batch_size"": 128, ""gradient_clip_norm"": 1.0, ""learning_rate"": 0.001, ""max_epochs"": 50, ""min_delta"": 1e-05, ""minimum_epochs"": 10, ""patience"": 7, ""weight_decay"": 1e-05}}",3988,9365,mean_validation_pr_auc_endpoint_policies,0.8096174347354642,evidence=validation_proxy_only; monitor_windows=1049; best_epoch=47; best_monitor_loss=0.4806147297; mean_roc_auc=0.9507896125; no threshold or test access,models\lstm_v2\fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed43.pt
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed44,2026-08-22T05:02:11+05:30,shivam,lstm_validation_screen,lstm_autoencoder,"{""architecture"": {""architecture_id"": ""balanced_64x16_l1"", ""dropout"": 0.0, ""hidden_dim"": 64, ""latent_dim"": 16, ""num_layers"": 1}, ""pipeline"": ""p0_global"", ""seed"": 44, ""stage"": ""stage2"", ""training"": {""batch_size"": 128, ""gradient_clip_norm"": 1.0, ""learning_rate"": 0.001, ""max_epochs"": 50, ""min_delta"": 1e-05, ""minimum_epochs"": 10, ""patience"": 7, ""weight_decay"": 1e-05}}",3988,9365,mean_validation_pr_auc_endpoint_policies,0.24004696080690416,evidence=validation_proxy_only; monitor_windows=1049; best_epoch=50; best_monitor_loss=0.7936605316; mean_roc_auc=0.5234003113; no threshold or test access,models\lstm_v2\fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed44.pt
fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed44,2026-08-22T05:02:11+05:30,shivam,lstm_validation_screen,lstm_autoencoder,"{""architecture"": {""architecture_id"": ""balanced_64x16_l1"", ""dropout"": 0.0, ""hidden_dim"": 64, ""latent_dim"": 16, ""num_layers"": 1}, ""pipeline"": ""p1_k6"", ""seed"": 44, ""stage"": ""stage2"", ""training"": {""batch_size"": 128, ""gradient_clip_norm"": 1.0, ""learning_rate"": 0.001, ""max_epochs"": 50, ""min_delta"": 1e-05, ""minimum_epochs"": 10, ""patience"": 7, ""weight_decay"": 1e-05}}",3988,9365,mean_validation_pr_auc_endpoint_policies,0.8108828308398239,evidence=validation_proxy_only; monitor_windows=1049; best_epoch=50; best_monitor_loss=0.4808868882; mean_roc_auc=0.9523263403; no threshold or test access,models\lstm_v2\fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed44.pt
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed45,2026-08-22T05:02:11+05:30,shivam,lstm_validation_screen,lstm_autoencoder,"{""architecture"": {""architecture_id"": ""balanced_64x16_l1"", ""dropout"": 0.0, ""hidden_dim"": 64, ""latent_dim"": 16, ""num_layers"": 1}, ""pipeline"": ""p0_global"", ""seed"": 45, ""stage"": ""stage2"", ""training"": {""batch_size"": 128, ""gradient_clip_norm"": 1.0, ""learning_rate"": 0.001, ""max_epochs"": 50, ""min_delta"": 1e-05, ""minimum_epochs"": 10, ""patience"": 7, ""weight_decay"": 1e-05}}",3988,9365,mean_validation_pr_auc_endpoint_policies,0.2376384413914121,evidence=validation_proxy_only; monitor_windows=1049; best_epoch=47; best_monitor_loss=0.8008652420; mean_roc_auc=0.5208251277; no threshold or test access,models\lstm_v2\fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed45.pt
fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed45,2026-08-22T05:02:11+05:30,shivam,lstm_validation_screen,lstm_autoencoder,"{""architecture"": {""architecture_id"": ""balanced_64x16_l1"", ""dropout"": 0.0, ""hidden_dim"": 64, ""latent_dim"": 16, ""num_layers"": 1}, ""pipeline"": ""p1_k6"", ""seed"": 45, ""stage"": ""stage2"", ""training"": {""batch_size"": 128, ""gradient_clip_norm"": 1.0, ""learning_rate"": 0.001, ""max_epochs"": 50, ""min_delta"": 1e-05, ""minimum_epochs"": 10, ""patience"": 7, ""weight_decay"": 1e-05}}",3988,9365,mean_validation_pr_auc_endpoint_policies,0.8127866266933063,evidence=validation_proxy_only; monitor_windows=1049; best_epoch=47; best_monitor_loss=0.4809039585; mean_roc_auc=0.9510469749; no threshold or test access,models\lstm_v2\fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed45.pt
